4, 56, 41473752
4, 89, 60042725
4, 99, 3161093
4, 170, 17170293
4, 190, 67081690
4, 246, 33297469
4, 320, 41029059
4, 359, 1234348
4, 374, 60543274
4, 409, 20855955
4, 521, 6285739
4, 671, 37339998
4, 692, 37325149
4, 696, 48345247
4, 705, 12597598
4, 708, 12397766
4, 710, 15711095
4, 741, 63564759
4, 825, 33120436
4, 835, 19638268
4, 905, 21727973
4, 1039, 6590918
4, 1040, 23364920
4, 1069, 62788329
4, 1220, 64979052
4, 1325, 64815280
4, 1345, 23720643
4, 1383, 105595
4, 1512, 23935505
4, 1557, 52750205
4, 1701, 25397806
4, 1761, 31179214
4, 1911, 54592390
4, 1918, 44004577
4, 1942, 57620019
4, 1956, 60973920
4, 1962, 19696211
4, 1972, 20895613
4, 1973, 23612508
4, 2139, 60131097
4, 2141, 5223679
4, 2210, 50593680
4, 2226, 37024623
